<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
EURUSD,1,03/07/20,15:35:00,1.1228100,1.1230400,1.1227000,1.1229900,1137
EURUSD,1,03/07/20,15:36:00,1.1228600,1.1230300,1.1226000,1.1228300,1255
EURUSD,1,03/07/20,15:37:00,1.1227500,1.1228400,1.1225600,1.1227000,1409
EURUSD,1,03/07/20,15:38:00,1.1227300,1.1229400,1.1225000,1.1229000,1395
EURUSD,1,03/07/20,15:39:00,1.1228200,1.1230100,1.1227000,1.1229900,1142
EURUSD,1,03/07/20,15:40:00,1.1229700,1.1229900,1.1226000,1.1227600,1398
EURUSD,1,03/07/20,15:41:00,1.1227400,1.1228500,1.1225000,1.1226500,841
EURUSD,1,03/07/20,15:42:00,1.1226400,1.1229000,1.1226000,1.1228700,993
EURUSD,1,03/07/20,15:43:00,1.1228500,1.1229600,1.1227000,1.1228700,1171
EURUSD,1,03/07/20,15:44:00,1.1227900,1.1230000,1.1227000,1.1228300,572
EURUSD,1,03/07/20,15:45:00,1.1229200,1.1229600,1.1227000,1.1228200,614
EURUSD,1,03/07/20,15:46:00,1.1229100,1.1230000,1.1227000,1.1228000,798
EURUSD,1,03/07/20,15:47:00,1.1228000,1.1229500,1.1227000,1.1228200,406
EURUSD,1,03/07/20,15:48:00,1.1228900,1.1230200,1.1227000,1.1230200,892
EURUSD,1,03/07/20,15:49:00,1.1229200,1.1231300,1.1228500,1.1229900,886
EURUSD,1,03/07/20,15:50:00,1.1229900,1.1231000,1.1228000,1.1228600,564
EURUSD,1,03/07/20,15:51:00,1.1229400,1.1229700,1.1227000,1.1229100,1142
EURUSD,1,03/07/20,15:52:00,1.1229000,1.1229600,1.1227000,1.1227600,715
EURUSD,1,03/07/20,15:53:00,1.1228500,1.1229400,1.1226000,1.1227100,1212
EURUSD,1,03/07/20,15:54:00,1.1227000,1.1230400,1.1226600,1.1229800,1121
EURUSD,1,03/07/20,15:55:00,1.1229800,1.1230000,1.1227000,1.1228200,581
EURUSD,1,03/07/20,15:56:00,1.1228900,1.1229100,1.1227000,1.1228800,360
EURUSD,1,03/07/20,15:57:00,1.1228800,1.1230000,1.1227000,1.1228800,559
EURUSD,1,03/07/20,15:58:00,1.1228900,1.1229800,1.1227000,1.1229000,733
EURUSD,1,03/07/20,15:59:00,1.1229300,1.1230000,1.1227000,1.1229100,842
EURUSD,1,03/07/20,16:00:00,1.1229400,1.1230000,1.1227000,1.1229200,894
EURUSD,1,03/07/20,16:01:00,1.1228500,1.1232000,1.1228000,1.1230800,1153
EURUSD,1,03/07/20,16:02:00,1.1231700,1.1232000,1.1229000,1.1231200,952
EURUSD,1,03/07/20,16:03:00,1.1231100,1.1231500,1.1228000,1.1229800,969
EURUSD,1,03/07/20,16:04:00,1.1229700,1.1231000,1.1227000,1.1227700,1247
EURUSD,1,03/07/20,16:05:00,1.1227600,1.1229600,1.1227000,1.1229300,723
EURUSD,1,03/07/20,16:06:00,1.1228500,1.1230300,1.1227000,1.1227100,1179
EURUSD,1,03/07/20,16:07:00,1.1227700,1.1228600,1.1224000,1.1226100,1715
EURUSD,1,03/07/20,16:08:00,1.1225400,1.1227000,1.1224000,1.1225500,915
EURUSD,1,03/07/20,16:09:00,1.1225600,1.1229300,1.1225000,1.1229100,1099
EURUSD,1,03/07/20,16:10:00,1.1228500,1.1229300,1.1226000,1.1228200,888
